"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.65","32045","1300 shares","-","0","9.61","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","72.81","29124","400 shares","-","0","8.74","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","600 shares","53.99","32394","600 shares","-","0","9.72","Filled","2011-01-11 09:30:00"
"2011-01-12","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.8","-30940","-1300 shares","-","-1105","40.22","Filled","2011-01-12 11:25:00"
"2011-01-12","14:50:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","70.59","-28236","-400 shares","-","-888","36.71","Filled","2011-01-12 14:50:00"
"2011-01-13","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.4","31720","1300 shares","-","0","9.52","Filled","2011-01-13 09:30:00"
"2011-01-13","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","71.69","28676","400 shares","-","0","8.6","Filled","2011-01-13 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.43","-30459","-1300 shares","-","-1261","39.6","Filled","2011-01-14 11:25:00"
"2011-01-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-600 shares","51.23","-30738","-600 shares","-","-1656","39.96","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","6200 shares","10.55","65410","6200 shares","-","0","19.62","Filled","2011-01-18 09:30:00"
"2011-01-24","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","69.1","-27640","-400 shares","-","-1036","35.93","Filled","2011-01-24 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-6200 shares","10.23","-63426","-6200 shares","-","-1984","82.45","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","2900 shares","30.75","89175","2900 shares","-","0","26.75","Filled","2011-01-25 09:30:00"
"2011-01-27","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","100 shares","18","1800","100 shares","-","0","5","Filled","2011-01-27 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-2900 shares","32.26","-93554","-2900 shares","-","4379","121.62","Filled","2011-01-27 11:25:00"
"2011-02-11","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-100 shares","22.58","-2258","-100 shares","-","458","7.26","Filled","2011-02-11 11:25:00"
"2011-03-07","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","3600 shares","26.45","95220","3600 shares","-","0","28.57","Filled","2011-03-07 09:30:00"
"2011-03-09","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-3600 shares","29","-104400","-3600 shares","-","9180","135.72","Filled","2011-03-09 11:25:00"
"2011-04-01","09:30:00","Equity","600089.XSHG","Buy","MarketOrder","5200 shares","20.25","105300","5200 shares","-","0","31.59","Filled","2011-04-01 09:30:00"
"2011-04-19","14:50:00","Equity","600089.XSHG","Sell","MarketOrder","-5200 shares","19.51","-101452","-5200 shares","-","-3848","131.89","Filled","2011-04-19 14:50:00"
"2011-04-20","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3000 shares","32.95","98850","3000 shares","-","0","29.66","Filled","2011-04-20 09:30:00"
"2011-04-26","14:50:00","Equity","002056.XSHE","Sell","MarketOrder","-3000 shares","31.85","-95550","-3000 shares","-","-3300","124.22","Filled","2011-04-26 14:50:00"
