Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2011-01-11,09:30:00,Stock,晶源电子(002049.XSHE),Buy,Market_Order,1300Shares,24.65,32045,1300Shares,-,0,9.61,Filled,2011-01-11 09:30:00
2011-01-11,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,400Shares,72.81,29124,400Shares,-,0,8.74,Filled,2011-01-11 09:30:00
2011-01-11,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,600Shares,53.99,32394,600Shares,-,0,9.72,Filled,2011-01-11 09:30:00
2011-01-12,11:25:00,Stock,晶源电子(002049.XSHE),Sell,Market_Order,-1300Shares,23.8,-30940,-1300Shares,-,-1105,40.22,Filled,2011-01-12 11:25:00
2011-01-12,14:50:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-400Shares,70.59,-28236,-400Shares,-,-888,36.71,Filled,2011-01-12 14:50:00
2011-01-13,09:30:00,Stock,晶源电子(002049.XSHE),Buy,Market_Order,1300Shares,24.4,31720,1300Shares,-,0,9.52,Filled,2011-01-13 09:30:00
2011-01-13,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,400Shares,71.69,28676,400Shares,-,0,8.6,Filled,2011-01-13 09:30:00
2011-01-14,11:25:00,Stock,晶源电子(002049.XSHE),Sell,Market_Order,-1300Shares,23.43,-30459,-1300Shares,-,-1261,39.6,Filled,2011-01-14 11:25:00
2011-01-17,14:50:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-600Shares,51.23,-30738,-600Shares,-,-1656,39.96,Filled,2011-01-17 14:50:00
2011-01-18,09:30:00,Stock,桐君阁(000591.XSHE),Buy,Market_Order,3100Shares,10.55,32705,3100Shares,-,0,9.81,Filled,2011-01-18 09:30:00
2011-01-18,09:30:00,Stock,中国化学(601117.XSHG),Buy,Market_Order,6700Shares,4.88,32696,6700Shares,-,0,9.81,Filled,2011-01-18 09:30:00
2011-01-21,11:25:00,Stock,中国化学(601117.XSHG),Sell,Market_Order,-6700Shares,5.72,-38324,-6700Shares,-,5628,49.82,Filled,2011-01-21 11:25:00
2011-01-24,11:25:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-400Shares,69.1,-27640,-400Shares,-,-1036,35.93,Filled,2011-01-24 11:25:00
2011-01-24,14:50:00,Stock,桐君阁(000591.XSHE),Sell,Market_Order,-3100Shares,10.23,-31713,-3100Shares,-,-992,41.23,Filled,2011-01-24 14:50:00
2011-01-25,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,3100Shares,30.75,95325,3100Shares,-,0,28.6,Filled,2011-01-25 09:30:00
2011-01-27,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,100Shares,18,1800,100Shares,-,0,5,Filled,2011-01-27 09:30:00
2011-01-27,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-3100Shares,32.26,-100006,-3100Shares,-,4681,130.01,Filled,2011-01-27 11:25:00
2011-02-11,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-100Shares,22.58,-2258,-100Shares,-,458,7.26,Filled,2011-02-11 11:25:00
2011-03-07,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,3900Shares,26.45,103155,3900Shares,-,0,30.95,Filled,2011-03-07 09:30:00
2011-03-09,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-3900Shares,29,-113100,-3900Shares,-,9945,147.03,Filled,2011-03-09 11:25:00
2011-04-01,09:30:00,Stock,特变电工(600089.XSHG),Buy,Market_Order,5500Shares,20.25,111375,5500Shares,-,0,33.41,Filled,2011-04-01 09:30:00
2011-04-19,14:50:00,Stock,特变电工(600089.XSHG),Sell,Market_Order,-5500Shares,19.51,-107305,-5500Shares,-,-4070,139.5,Filled,2011-04-19 14:50:00
2011-04-20,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,3300Shares,32.95,108735,3300Shares,-,0,32.62,Filled,2011-04-20 09:30:00
2011-04-26,14:50:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-3300Shares,31.85,-105105,-3300Shares,-,-3630,136.64,Filled,2011-04-26 14:50:00
2011-04-27,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,4500Shares,23.09,103905,4500Shares,-,0,31.17,Filled,2011-04-27 09:30:00
2011-04-28,11:25:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-4500Shares,22.16,-99720,-4500Shares,-,-4185,129.64,Filled,2011-04-28 11:25:00
2011-04-29,09:30:00,Stock,晶源电子(002049.XSHE),Buy,Market_Order,2400Shares,20.52,49248,2400Shares,-,0,14.77,Filled,2011-04-29 09:30:00
2011-04-29,09:30:00,Stock,东方财富(300059.XSHE),Buy,Market_Order,1300Shares,36.9,47970,1300Shares,-,0,14.39,Filled,2011-04-29 09:30:00
2011-05-04,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,100Shares,29.83,2983,100Shares,-,0,5,Filled,2011-05-04 09:30:00
2011-05-17,11:25:00,Stock,东方财富(300059.XSHE),Sell,Market_Order,-1300Shares,37.78,-49114,-1300Shares,-,1144,63.85,Filled,2011-05-17 11:25:00
2011-05-23,09:30:00,Stock,大华Shares份(002236.XSHE),Buy,Market_Order,600Shares,76.41,45846,600Shares,-,0,13.75,Filled,2011-05-23 09:30:00
2011-05-23,11:25:00,Stock,和而泰(002402.XSHE),Sell,Market_Order,-100Shares,28.68,-2868,-100Shares,-,-115,7.87,Filled,2011-05-23 11:25:00
2011-05-24,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,200Shares,26.68,5336,200Shares,-,0,5,Filled,2011-05-24 09:30:00
2011-05-27,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-200Shares,27.25,-5450,-200Shares,-,114,10.45,Filled,2011-05-27 11:25:00
2011-05-30,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,200Shares,26,5200,200Shares,-,0,5,Filled,2011-05-30 09:30:00
2011-06-03,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-200Shares,27.03,-5406,-200Shares,-,206,10.41,Filled,2011-06-03 11:25:00
2011-06-07,11:25:00,Stock,晶源电子(002049.XSHE),Sell,Market_Order,-2400Shares,21,-50400,-2400Shares,-,1416,65.52,Filled,2011-06-07 11:25:00
2011-06-08,11:25:00,Stock,大华Shares份(002236.XSHE),Sell,Market_Order,-1200Shares,41.05,-49260,-1200Shares,-,3714,64.04,Filled,2011-06-08 11:25:00
2011-06-21,09:30:00,Stock,顺荣Shares份(002555.XSHE),Buy,Market_Order,4200Shares,12.52,52584,4200Shares,-,0,15.78,Filled,2011-06-21 09:30:00
2011-06-21,09:30:00,Stock,科华恒盛(002335.XSHE),Buy,Market_Order,3000Shares,17.64,52920,3000Shares,-,0,15.88,Filled,2011-06-21 09:30:00
2011-06-24,11:25:00,Stock,顺荣Shares份(002555.XSHE),Sell,Market_Order,-4200Shares,13.42,-56364,-4200Shares,-,3780,73.27,Filled,2011-06-24 11:25:00
2011-07-01,11:25:00,Stock,科华恒盛(002335.XSHE),Sell,Market_Order,-3000Shares,19.7,-59100,-3000Shares,-,6180,76.83,Filled,2011-07-01 11:25:00
2011-07-21,09:30:00,Stock,晶源电子(002049.XSHE),Buy,Market_Order,5500Shares,21,115500,5500Shares,-,0,34.65,Filled,2011-07-21 09:30:00
2011-07-25,11:25:00,Stock,晶源电子(002049.XSHE),Sell,Market_Order,-5500Shares,20.2,-111100,-5500Shares,-,-4400,144.43,Filled,2011-07-25 11:25:00
2011-08-02,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,6300Shares,17.67,111321,6300Shares,-,0,33.4,Filled,2011-08-02 09:30:00
2011-08-08,11:25:00,Stock,和而泰(002402.XSHE),Sell,Market_Order,-6300Shares,15.67,-98721,-6300Shares,-,-12600,128.34,Filled,2011-08-08 11:25:00
2011-08-09,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,2100Shares,15.05,31605,2100Shares,-,0,9.48,Filled,2011-08-09 09:30:00
2011-08-09,09:30:00,Stock,威远生化(600803.XSHG),Buy,Market_Order,3200Shares,10.03,32096,3200Shares,-,0,9.63,Filled,2011-08-09 09:30:00
2011-08-09,09:30:00,Stock,东方财富(300059.XSHE),Buy,Market_Order,1500Shares,21.69,32535,1500Shares,-,0,9.76,Filled,2011-08-09 09:30:00
2011-08-11,09:30:00,Stock,特变电工(600089.XSHG),Buy,Market_Order,100Shares,10.39,1039,100Shares,-,0,5,Filled,2011-08-11 09:30:00
2011-08-12,09:30:00,Stock,桐君阁(000591.XSHE),Buy,Market_Order,200Shares,8.42,1684,200Shares,-,0,5,Filled,2011-08-12 09:30:00
2011-08-12,11:25:00,Stock,威远生化(600803.XSHG),Sell,Market_Order,-3200Shares,11.21,-35872,-3200Shares,-,3776,46.63,Filled,2011-08-12 11:25:00
2011-08-15,11:25:00,Stock,和而泰(002402.XSHE),Sell,Market_Order,-2100Shares,16.41,-34461,-2100Shares,-,2856,44.8,Filled,2011-08-15 11:25:00
2011-08-15,11:25:00,Stock,东方财富(300059.XSHE),Sell,Market_Order,-1500Shares,24.22,-36330,-1500Shares,-,3795,47.23,Filled,2011-08-15 11:25:00
2011-08-15,11:25:00,Stock,特变电工(600089.XSHG),Sell,Market_Order,-100Shares,11.02,-1102,-100Shares,-,63,6.1,Filled,2011-08-15 11:25:00
2011-08-18,11:25:00,Stock,桐君阁(000591.XSHE),Sell,Market_Order,-200Shares,7.99,-1598,-200Shares,-,-86,6.6,Filled,2011-08-18 11:25:00
2011-09-02,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,5700Shares,19.14,109098,5700Shares,-,0,32.73,Filled,2011-09-02 09:30:00
